id,Variables,Importance
0,poi_shop,0.35360852164632645
1,poi_healthcare,0.223957046722637
2,builtup,0.17396587707789282
3,poi_business,0.17231974064318503
4,dens_healthcare,0.046508251047108595
5,poi_transport,0.029640562862850134
