id,Variables,Importance
0,NDVI,0.35360852164632645
1,GAS_CO,0.223957046722637
2,lst,0.17396587707789282
3,corps,0.17231974064318503
4,GAS_NO2,0.046508251047108595
5,GAS_SO2,0.029640562862850134
